VANID	DWID	Sex	Age	RaceName	CountyName	2015:Cat:VProp 	Ideal
5599080	174064051	F	34	Black	Wake	0	78.7
5605185	174070156	F	36	Black	Wake	0	75
5606303	174071274	F	30	Black	Wake	0	77.8
7620071	233210752	M	35	Black	Wake	0	69.1
7725069	233315750	M	45	Hispanic	Wake	57.8	35.04
9953546	349419272	M	29	Black	Wake	0	71.6
9836046	323753580	F	54	Black	Wake	0	61.5
9987003	349504018	M	26	Black	Wake	0	68.8
10044421	38684502	F	40	Black	Wake	0	63.3
10851979	378225774	F	63	Black	Wake	0	60.7
10071383	355184304	M	24	Black	Wake	52.9	0.2
10617694	365639438	M	26	Black	Wake	0	58.3
10187252	357345008	F	42	Black	Wake	0	67.7
10618879	365640638	M	43	Black	Wake	0	68
10428785	241361384	M	33	Black	Wake	0	56.4
10507071	362888182	F	30	Black	Wake	0	74.1
10361751	361580427	M	27	Hispanic	Wake	0	28.5
11264423	390053364	F	23	Black	Wake	64	0.86
12060523	411887156	M	21	Black	Wake	64.8	2.85
11906854	408081800	F	52	Hispanic	Wake	0	72.3
12060221	411886854	F	49	Hispanic	Wake	0	45
11511930	400093983	F	22	Asian	Wake	0	48.5
10624363	365646194	M	29	Black	Wake	0	62.3
11381336	390342629	F	53	Black	Wake	0	73.4
12119930	409371567	F	20	Asian	Wake	0	67
10637098	299060401	F	25	Black	Wake	0	67.4
10642970	48580105	F	37	Black	Wake	0	62.3
11685406	404189704	F	43	Black	Wake	0	76.4
11728820	10960681	M	54	Black	Wake	65.1	22.75
11734327	38362185	F	34	Black	Wake	0	69.2
11901728	408076670	F	23	Hispanic	Wake	0	81.7
12328332	514672804	F	19	Black	Wake	0	57.6
12733764	521135776	M	22	Middle Eastern	Wake	0	44.5
11970685	161848681	M	49	Black	Wake	59.1	7.08
11993037	339224041	F	62	Black	Wake	0	73.3
13321991	539978380	M	24	Black	Wake	4.03	
13323068	539980433	F	22	Black	Wake	4.83	
12267868	510784954	F	20	Native American	Wake	0	51.5
13577655	904896806	M	20	Black	Wake	6.87	
13277832	513888858	F	21	Hispanic	Wake	1.21	
13161392	532897717	M	26	Hispanic	Wake	0	71.9
13161619	532902346	M	20	Black	Wake	0	49.3
13246551	535471316	F	26	Black	Wake	17.28	
13696860	908780936	F	19	Asian	Wake	1.92	
13613893	201228709	M	32	Hispanic	Wake	10.51	
13986132	919615510	F	19	Black	Wake	4.93	
12277034	510795301	F	43	Black	Wake	0	56.6
12284926	510801414	F	54	Black	Wake	13.87	
13590436	181759688	F	34	Hispanic	Wake	2.45	
13770952	514672907	F	19	Black	Wake	7.86	
13822073	913915787	F	19	Black	Wake	2.39	
14054310	511800944	F	48	Black	Wake	29.63	
