Middl	DWID	Sex	Age	RaceName	CountyName 
434224	170940970	F	55	Caucasian	Buncombe
435950	170942696	F	31	Caucasian	Buncombe
917825	171424571	F	67	Caucasian	Currituck
930339	171437085	F	36	Caucasian	Currituck
930719	171437465	F	63	Caucasian	Currituck
935191	171441937	F	54	Caucasian	Dare
935674	171442420	M	83	Caucasian	Dare
945391	171452137	F	62	Caucasian	Dare
948560	171455306	F	54	Caucasian	Dare
956728	171463474	F	70	Caucasian	Davidson
964615	171471361	F	54	Caucasian	Davidson
964724	171471470	F	65	Caucasian	Davidson
974164	171480910	F	48	Caucasian	Davidson
979598	171486344	M	78	Caucasian	Davidson
991774	171498520	F	57	Caucasian	Davidson
997191	171503937	F	43	Caucasian	Davidson
1015773	171522519	F	35	Caucasian	Davidson
1016839	171523585	F	53	Caucasian	Davidson
1019590	171526336	F	69	Caucasian	Davidson
1026026	171532772	F	42	Caucasian	Davidson
1030092	171536838	M	29	Caucasian	Davidson
1030828	171537574	F	30	Caucasian	Davidson
1033070	171539816	F	58	Caucasian	Davidson
1035657	171542403	F	51	Caucasian	Davidson
1038537	171545283	F	60	Caucasian	Davidson
1042224	171548970	F	57	Caucasian	Davidson
1042934	171549680	M	54	Caucasian	Randolph
1043687	171550433	F	61	Caucasian	Davidson
1046678	171553424	F	39	Caucasian	Davidson
1047903	171554649	F	27	Caucasian	Forsyth
1064231	171570977	F	59	Caucasian	Davie
1069078	171575824	F	61	Caucasian	Davie
1070808	171577554	M	47	Caucasian	Davie
1071409	171578155	F	68	Caucasian	Davie
1071749	171578495	F	42	Caucasian	Davie
1073587	171580333	F	53	Caucasian	Davie
1074823	171581569	F	62	Caucasian	Davie
1076045	171582791	F	54	Caucasian	Davie
1104179	171610925	F	72	Black	Durham
1104192	171610938	F	60	Caucasian	Durham
1104557	171611303	F	86	Caucasian	Durham
1104885	171611631	F	66	Caucasian	Durham
1104953	171611699	F	63	Black	Alamance
1105179	171611925	F	70	Caucasian	Durham
1105242	171611988	F	63	Black	Durham
1105344	171612090	M	71	Caucasian	Durham
1105548	171612294	M	71	Caucasian	Durham
1105636	171612382	F	68	Caucasian	Durham
1105958	171612704	F	60	Caucasian	Durham
1106111	171612857	M	76	Caucasian	Durham
1106167	171612913	F	60	Caucasian	Durham
1106681	171613427	M	72	Caucasian	Durham
1106682	171613428	F	72	Caucasian	Durham
1106838	171613584	F	67	Black	Durham
1106870	171613616	F	62	Caucasian	Durham
1106949	171613695	M	62	Caucasian	Durham
1107339	171614085	F	52	Caucasian	Durham
1107471	171614217	F	63	Caucasian	Durham
1107603	171614349	F	64	Black	Wake
1107698	171614444	F	75	Caucasian	Durham
1108364	171615110	F	72	Caucasian	Durham
1108494	171615240	F	60	Caucasian	Durham
1108563	171615309	F	65	Caucasian	Durham
1109043	171615789	F	61	Caucasian	Durham
1109097	171615843	F	74	Caucasian	Durham
1109489	171616235	M	62	Black	Durham
1110341	171617087	F	71	Caucasian	Durham
1110444	171617190	F	69	Caucasian	Durham
1110492	171617238	F	68	Black	Durham
1110816	171617562	F	68	Caucasian	Durham
1110984	171617730	F	67	Black	Durham
1111123	171617869	M	74	Black	Durham
1111226	171617972	F	74	Caucasian	Durham
1111248	171617994	M	72	Caucasian	Durham
1111263	171618009	F	64	Caucasian	Durham
1111672	171618418	F	68	Caucasian	Durham
1111935	171618681	M	74	Caucasian	Durham
1112698	171619444	F	70	Caucasian	Durham
1113487	171620233	F	90	Caucasian	Durham
1113767	171620513	F	73	Black	Durham
1113850	171620596	M	68	Black	Durham
1113904	171620650	M	62	Caucasian	Durham
1114435	171621181	F	62	Caucasian	Durham
1114662	171621408	F	64	Caucasian	Durham
1114856	171621602	M	66	Black	Durham
1115140	171621886	F	74	Black	Durham
1115149	171621895	M	65	Black	Durham
1112172	171618918	M	65	Caucasian	Durham
1112929	171619675	F	71	Caucasian	Durham
1112983	171619729	M	75	Black	Durham
276126	170782872	F	55	Caucasian	Transylvania
277283	170784029	F	87	Caucasian	Transylvania
277383	170784129	F	58	Caucasian	Forsyth
277807	170784553	F	59	Caucasian	Transylvania
277823	170784569	M	27	Caucasian	Transylvania
278374	170785120	F	50	Caucasian	Alamance
278743	170785489	F	63	Caucasian	Alamance
279055	170785801	F	69	Caucasian	Alamance
279399	170786145	F	70	Caucasian	Alamance
279624	170786370	F	65	Black	Alamance
280198	170786944	F	72	Caucasian	Alamance
280376	170787122	M	64	Black	Alamance
280452	170787198	M	71	Black	Alamance
281303	170788049	F	74	Caucasian	Alamance
282034	170788780	F	59	Caucasian	Alamance
282659	170789405	F	66	Caucasian	Alamance
282994	170789740	F	74	Black	Alamance
284124	170790870	F	65	Caucasian	Alamance
284401	170791147	F	70	Caucasian	Alamance
284458	170791204	F	69	Caucasian	Guilford
284776	170791522	F	67	Caucasian	Alamance
285161	170791907	M	63	Caucasian	Alamance
285550	170792296	F	71	Caucasian	Alamance
286647	170793393	F	60	Black	Alamance
286715	170793461	F	67	Caucasian	Alamance
287090	170793836	M	69	Caucasian	Alamance
288448	170795194	M	67	Caucasian	Alamance
288661	170795407	F	64	Caucasian	Alamance
289039	170795785	F	74	Caucasian	Guilford
289447	170796193	M	70	Caucasian	Alamance
289463	170796209	F	68	Caucasian	Alamance
289857	170796603	F	65	Caucasian	Alamance
290416	170797162	F	62	Caucasian	Rockingham
290808	170797554	F	57	Black	Alamance
291052	170797798	M	78	Caucasian	Alamance
291797	170798543	F	60	Black	Alamance
291960	170798706	M	67	Caucasian	Alamance
292317	170799063	F	65	Black	Alamance
292419	170799165	F	61	Caucasian	Alamance
292665	170799411	F	67	Caucasian	Alamance
293685	170800431	F	68	Caucasian	Alamance
295234	170801980	F	58	Black	Alamance
295532	170802278	M	64	Black	Alamance
295557	170802303	M	70	Caucasian	Alamance
296115	170802861	F	69	Black	Alamance
296134	170802880	F	66	Black	Alamance
297093	170803839	F	60	Caucasian	Alamance
297431	170804177	F	60	Caucasian	Alamance
297452	170804198	M	58	Caucasian	Alamance
297915	170804661	F	52	Caucasian	Alamance
297925	170804671	F	58	Caucasian	Alamance
298426	170805172	F	62	Caucasian	Alamance
298466	170805212	F	53	Caucasian	Alamance
298529	170805275	M	62	Caucasian	Alamance
299042	170805788	F	60	Caucasian	Alamance
299355	170806101	F	92	Black	Alamance
299408	170806154	F	55	Caucasian	Alamance
299691	170806437	F	54	Caucasian	Alamance
299779	170806525	F	53	Caucasian	Alamance
300352	170807098	F	55	Caucasian	Guilford
300481	170807227	M	65	Black	Alamance
300857	170807603	F	54	Caucasian	Alamance
301308	170808054	F	54	Caucasian	Alamance
301371	170808117	M	74	Caucasian	Alamance
301386	170808132	F	56	Caucasian	Alamance
301580	170808326	F	60	Caucasian	Person
301733	170808479	M	66	Caucasian	Alamance
301923	170808669	F	49	Caucasian	Alamance
302342	170809088	F	44	Caucasian	Alamance
302661	170809407	F	44	Black	Alamance
302995	170809741	F	48	Caucasian	Alamance
303191	170809937	F	73	Caucasian	Alamance
303493	170810239	F	65	Black	Alamance
303786	170810532	F	59	Caucasian	Alamance
303813	170810559	F	67	Caucasian	Alamance
304026	170810772	F	67	Caucasian	Alamance
304480	170811226	M	45	Caucasian	Alamance
306026	170812772	M	72	Black	Alamance
306131	170812877	M	44	Black	Alamance
306196	170812942	F	55	Caucasian	Alamance
306212	170812958	F	63	Caucasian	Alamance
306246	170812992	F	51	Caucasian	Alamance
306852	170813598	F	47	Caucasian	Alamance
307010	170813756	F	42	Black	Alamance
308045	170814791	M	52	Caucasian	Alamance
308134	170814880	F	59	Caucasian	Durham
308338	170815084	M	51	Caucasian	Alamance
309132	170815878	F	52	Caucasian	Alamance
309167	170815913	F	45	Caucasian	Alamance
493944	171000690	F	38	Caucasian	Cabarrus
498297	171005043	M	66	Caucasian	Caldwell
510380	171017126	F	72	Caucasian	Caldwell
520286	171027032	F	54	Caucasian	Caldwell
524046	171030792	F	35	Caucasian	Caldwell
524361	171031107	F	36	Caucasian	Caldwell
111509	85918884	M	42	Caucasian	Wake
112442	85919829	M	36	Caucasian	Wake
116080	85923533	F	40	Black	Sampson
117971	85925459	F	40	Caucasian	Wake
118179	85925673	F	29	Caucasian	Carteret
118314	85925808	F	30	Black	Durham
118782	85926286	F	51	Caucasian	Wake
120000	85927552	F	62	Caucasian	Wake
124364	85932078	F	37	Caucasian	Wake
125509	85933262	F	51	Caucasian	Wake
125918	85933691	M	35	Caucasian	Wake
126321	85934112	M	35	Caucasian	Durham
126667	85934474	F	42	Caucasian	Chatham
127678	85935532	F	62	Caucasian	Wake
131289	85939322	M	27	Caucasian	Wake
133379	85941441	F	27	Caucasian	Wake
133711	85941794	M	37	Caucasian	Wake
134140	85942247	F	36	Caucasian	Wake
134964	85943129	F	34	Asian	Wake
134976	85943141	F	50	Caucasian	Wake
137496	85945822	F	43	Caucasian	Wake
138294	85946680	F	60	Caucasian	Wake
139631	85948110	F	37	Caucasian	Wake
140952	85949510	F	54	Black	Wake
141608	85950220	F	40	Caucasian	Carteret
141631	85950244	F	57	Caucasian	Wake
142731	85951411	M	27	Black	Wake
145400	85954256	F	37	Caucasian	Wake
146487	85955397	M	31	Caucasian	Wake
